Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA,Year
Bukayo Saka,2,0,19.0,36,2978,11.0,9.0,7.0,6.0,0.0,10.3,8.7,7.5,3
Gabriel Dos Santos,0,0,23.0,35,3063,5.0,5.0,0.0,8.0,1.0,3.2,3.2,0.7,3
Ben White,0,0,23.0,32,2880,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.3,3
Martin Ødegaard,1,0,22.0,32,2785,7.0,7.0,4.0,4.0,0.0,4.8,4.8,6.3,3
Granit Xhaka,1,0,28.0,27,2327,1.0,1.0,2.0,10.0,1.0,1.4,1.4,2.3,3
Thomas Partey,1,0,28.0,23,2028,2.0,2.0,1.0,6.0,0.0,2.8,2.8,1.0,3
Kieran Tierney,0,0,24.0,22,1915,1.0,1.0,3.0,0.0,0.0,0.6,0.6,1.8,3
Emile Smith Rowe,1,0,21.0,21,1921,10.0,10.0,2.0,1.0,0.0,6.0,6.0,2.0,3
Martinelli,2,0,20.0,21,1860,6.0,5.0,6.0,3.0,1.0,7.3,6.6,4.3,3
Alexandre Lacazette,2,0,30.0,20,1782,4.0,2.0,7.0,0.0,0.0,8.4,6.0,3.0,3
Takehiro Tomiyasu,0,0,22.0,20,1679,0.0,0.0,1.0,2.0,0.0,0.6,0.6,1.0,3
Cédric Soares,0,0,29.0,16,1486,1.0,1.0,1.0,3.0,0.0,0.6,0.6,1.6,3
Nuno Tavares,0,0,21.0,13,1176,1.0,1.0,1.0,2.0,0.0,1.9,1.9,1.1,3
Albert Sambi Lokonga,1,0,21.0,12,1134,0.0,0.0,0.0,5.0,0.0,0.6,0.6,1.0,3
Pierre-Emerick Aubameyang,2,0,32.0,12,1037,4.0,4.0,1.0,3.0,0.0,5.9,4.2,1.0,3
Rob Holding,0,0,25.0,9,845,1.0,1.0,0.0,4.0,1.0,0.4,0.4,0.0,3
Eddie Nketiah,2,0,22.0,8,835,5.0,5.0,1.0,3.0,0.0,4.4,4.4,2.0,3
Mohamed Elneny,1,0,29.0,8,806,0.0,0.0,2.0,1.0,0.0,0.2,0.2,0.4,3
Nicolas Pépé,2,0,26.0,5,696,1.0,1.0,2.0,0.0,0.0,2.6,2.6,1.7,3
Ainsley Maitland-Niles,1,0,23.0,2,268,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,3
Pablo Marí,0,0,27.0,2,180,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,3
Calum Chambers,0,0,26.0,2,170,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,3
Sead Kolašinac,0,0,28.0,1,91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
Folarin Balogun,2,0,20.0,1,70,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,3
Reiss Nelson,2,0,21.0,0,20,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3
Matty Cash,0,1,23.0,38,3377,4.0,4.0,3.0,8.0,0.0,2.7,2.7,2.8,3
Tyrone Mings,0,1,28.0,35,3189,1.0,1.0,3.0,11.0,0.0,1.6,1.6,1.6,3
John McGinn,1,1,26.0,35,3090,3.0,3.0,4.0,8.0,0.0,1.5,1.5,5.3,3
Ollie Watkins,2,1,25.0,33,2952,11.0,10.0,2.0,7.0,0.0,11.6,11.0,3.4,3
Douglas Luiz,1,1,23.0,31,2715,2.0,2.0,3.0,7.0,0.0,2.0,2.0,2.5,3
Ezri Konsa,0,1,23.0,29,2477,2.0,2.0,0.0,6.0,2.0,1.6,1.6,0.3,3
Jacob Ramsey,1,1,20.0,29,2467,6.0,6.0,1.0,6.0,0.0,4.0,4.0,1.9,3
Emi Buendía,1,1,24.0,22,1899,4.0,4.0,6.0,1.0,0.0,3.4,3.4,5.8,3
Danny Ings,2,1,29.0,22,1898,7.0,6.0,6.0,4.0,0.0,7.1,6.3,1.6,3
Matt Targett,0,1,25.0,17,1431,1.0,1.0,1.0,2.0,0.0,0.5,0.5,1.7,3
Philippe Coutinho,1,1,29.0,16,1329,5.0,5.0,3.0,0.0,0.0,3.8,3.8,2.9,3
Lucas Digne,0,1,28.0,16,1269,0.0,0.0,4.0,2.0,0.0,0.5,0.5,2.2,3
Ashley Young,0,1,36.0,10,1250,0.0,0.0,2.0,2.0,0.0,0.4,0.4,1.0,3
Marvelous Nakamba,1,1,27.0,10,904,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3
Calum Chambers,0,1,26.0,9,831,1.0,1.0,0.0,1.0,0.0,0.2,0.2,0.1,3
Leon Bailey,2,1,23.0,7,761,1.0,1.0,2.0,3.0,0.0,1.5,1.5,0.8,3
Axel Tuanzebe,0,1,23.0,6,508,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,3
Kortney Hause,0,1,26.0,4,397,1.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,3
Anwar El Ghazi,2,1,26.0,4,386,1.0,0.0,1.0,2.0,0.0,1.1,0.3,0.4,3
Morgan Sanson,1,1,26.0,3,356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Carney Chukwuemeka,1,1,17.0,2,301,0.0,0.0,1.0,0.0,0.0,0.6,0.6,1.0,3
Bertrand Traoré,1,1,25.0,1,220,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,3
Tim Iroegbunam,1,1,18.0,1,92,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,3
Cameron Archer,2,1,20.0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Keinan Davis,2,1,23.0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Trézéguet,2,1,26.0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Jaden Philogene Bidace,2,1,19.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Wesley Moraes,2,1,24.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Pontus Jansson,0,3,30.0,37,3321,3.0,3.0,1.0,7.0,0.0,3.0,3.0,0.3,3
Christian Nørgaard,1,3,27.0,35,3054,3.0,3.0,4.0,8.0,0.0,3.8,3.8,3.3,3
Bryan Mbeumo,2,3,21.0,34,2905,4.0,3.0,7.0,4.0,0.0,9.3,8.5,3.7,3
Rico Henry,0,3,24.0,33,2776,3.0,3.0,0.0,2.0,0.0,1.5,1.5,1.7,3
Ivan Toney,2,3,25.0,32,2909,12.0,7.0,5.0,8.0,0.0,11.4,7.4,5.8,3
Ethan Pinnock,0,3,28.0,32,2694,1.0,1.0,1.0,1.0,0.0,1.2,1.2,1.2,3
Vitaly Janelt,1,3,23.0,27,2298,4.0,4.0,0.0,3.0,0.0,2.4,2.4,1.9,3
Sergi Canós,0,3,24.0,25,2083,3.0,3.0,2.0,8.0,1.0,3.0,3.0,1.7,3
Kristoffer Ajer,0,3,23.0,23,1995,1.0,1.0,3.0,5.0,0.0,0.8,0.8,1.7,3
Mathias Jensen,1,3,25.0,19,1601,0.0,0.0,1.0,0.0,0.0,2.9,2.9,3.2,3
Yoane Wissa,2,3,24.0,12,1284,7.0,7.0,1.0,0.0,0.0,3.1,3.1,0.9,3
Mads Roerslev,0,3,22.0,12,1240,1.0,1.0,1.0,1.0,0.0,0.4,0.4,0.6,3
Frank Onyeka,1,3,23.0,12,1045,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.2,3
Christian Eriksen,1,3,29.0,10,939,1.0,1.0,4.0,1.0,0.0,1.3,1.3,3.5,3
Shandon Baptiste,1,3,23.0,9,910,1.0,1.0,0.0,2.0,1.0,0.7,0.7,0.5,3
Mads Bech Sørensen,0,3,22.0,9,835,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.4,3
Mathias Jørgensen,0,3,31.0,6,518,1.0,1.0,0.0,2.0,0.0,0.1,0.1,0.3,3
Saman Ghoddos,1,3,27.0,4,536,1.0,1.0,1.0,2.0,0.0,0.5,0.5,1.2,3
Charlie Goode,0,3,25.0,4,450,0.0,0.0,0.0,3.0,0.0,0.1,0.1,1.0,3
Josh Dasilva,1,3,22.0,2,257,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.1,3
Dominic Thompson,0,3,21.0,2,146,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3
Marcus Forss,2,3,22.0,1,209,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.2,3
Mads Bidstrup,1,3,20.0,0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Tariqe Fosu,0,3,25.0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Finley Stevens,0,3,18.0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3
Nathan Young-Coombes,1,3,18.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Marc Cucurella,0,4,23.0,35,3089,1.0,1.0,1.0,6.0,0.0,0.7,0.7,2.7,3
Joël Veltman,0,4,29.0,33,2874,1.0,1.0,1.0,6.0,0.0,0.7,0.7,1.6,3
Leandro Trossard,2,4,26.0,32,2805,8.0,7.0,3.0,2.0,0.0,6.7,5.9,4.8,3
Lewis Dunk,0,4,29.0,29,2573,1.0,1.0,0.0,3.0,1.0,1.3,1.3,0.4,3
Neal Maupay,2,4,24.0,25,2276,8.0,7.0,2.0,7.0,0.0,8.7,7.1,2.4,3
Yves Bissouma,1,4,24.0,25,2111,1.0,1.0,2.0,10.0,0.0,0.9,0.9,0.8,3
